id,input_len,gt_O,det_O,gt_C,det_C,gt_E,det_E,gt_A,det_A,gt_N,det_N
agree_low-compare2-Scopa-Shabu-Tatsu-3,219,-0.5833333333333334,-0.5,-0.08333333333333333,0.1,-0.4166666666666667,-0.4,0.08333333333333333,-0.6,-0.08333333333333333,-0.3
agree_low-compare2-Soul_Fixins_-Walker_s-3,169,-0.4166666666666667,-0.4,-0.08333333333333333,0.2,-0.4166666666666667,-0.5,-0.16666666666666666,-0.6,0.5833333333333334,-0.3
agree_low-recommend-Cent_anni-3,299,0.08333333333333333,-0.5,-0.5,0.6,0.5833333333333334,-0.2,-0.16666666666666666,-0.6,-0.16666666666666666,-0.1
agree_low-recommend-Chimichurri_Grill-3,140,-0.5,-0.1,-0.3333333333333333,0.2,0.75,-0.2,-0.6666666666666666,-0.5,0.16666666666666666,-0.1
agree_low-recommend-Edgar_s_Cafe-3,132,0.0,-0.5,0.5,0.1,0.08333333333333333,-0.2,0.5,-0.4,-0.16666666666666666,-0.3
agree_low-recommend-Flor_De_Mayo-3,125,-0.3333333333333333,0.0,0.3333333333333333,-0.15,0.0,0.0,-0.08333333333333333,0.0,-0.6666666666666666,0.2
agree_low-recommend-Jin_Dal_Lae-3,160,-0.4166666666666667,-0.4,-0.3333333333333333,0.2,-0.16666666666666666,-0.6,-0.3333333333333333,-0.7,-0.08333333333333333,-0.3
agree_low-recommend-John_s_Pizzeria-3,206,-0.5,-0.5,0.08333333333333333,0.1,0.8333333333333334,0.1,-0.5833333333333334,-0.8,0.16666666666666666,-0.4
agree_low-recommend-Pepolino-3,208,-0.5833333333333334,-0.1,0.08333333333333333,0.5,0.08333333333333333,-0.2,-0.8333333333333334,-0.7,0.6666666666666666,-0.4
agree_low-recommend-Pietro_s-3,141,-0.3333333333333333,-0.4,0.08333333333333333,0.1,0.6666666666666666,-0.2,-0.3333333333333333,-0.7,0.08333333333333333,-0.3
agree_low-recommend-Trattoria_Rustica-3,230,0.16666666666666666,0.1,0.5833333333333334,0.5,-0.5,-0.2,-0.3333333333333333,-0.6,-0.5833333333333334,-0.3
agree_low-recommend-Vinnie_s_Pizza-3,219,-0.5833333333333334,-0.5,0.08333333333333333,0.2,0.5833333333333334,-0.2,-0.3333333333333333,-0.8,0.5,-0.3
consc_high-compare2-Acacia-Marinella-6,271,0.4166666666666667,0.5,0.5,0.9,0.6666666666666666,0.5,0.6666666666666666,0.7,-0.6666666666666666,-0.8
consc_high-compare2-Caffe_Cielo-Trattoria_Spaghetto-6,253,0.5,0.1,0.5833333333333334,0.5,0.3333333333333333,0.6,0.6666666666666666,0.4,-0.5833333333333334,-0.6
consc_high-compare2-Ikeno_Hana-Menchanko-Tei-6,255,-0.3333333333333333,0.6,0.16666666666666666,0.9,0.25,0.7,0.16666666666666666,0.7,-0.0,-0.8
consc_high-compare2-Kin_Khao-Tossed-6,225,0.25,0.2,0.75,0.9,-0.5833333333333334,0.1,0.3333333333333333,0.5,-0.75,-0.8
consc_high-compare2-Le_Rivage-Pintaile_s_Pizza-6,265,0.25,0.9,0.25,0.9,0.4166666666666667,0.7,0.4166666666666667,0.5,-0.5833333333333334,-0.8
consc_high-compare2-Les_Routiers-Radio_Perfecto-6,289,0.5,0.6,0.25,0.9,0.5,0.7,0.4166666666666667,0.5,-0.25,-0.8
consc_high-compare2-Mavalli_Palace-Once_Upon_A_Tart-6,224,0.5833333333333334,0.6,0.6666666666666666,0.9,0.6666666666666666,0.7,0.75,0.7,-0.6666666666666666,-0.8
consc_high-compare2-Old_San_Juan-Veselka-6,209,-0.16666666666666666,0.1,0.6666666666666666,0.6,0.16666666666666666,0.5,0.5,0.7,-0.25,-0.4
consc_high-compare2-Scopa-Shabu-Tatsu-6,282,0.6666666666666666,0.6,0.6666666666666666,0.9,0.3333333333333333,0.8,0.5,0.7,-0.6666666666666666,-0.8
consc_high-compare2-Soul_Fixins_-Walker_s-6,291,-0.16666666666666666,0.6,0.5833333333333334,0.9,0.16666666666666666,0.5,0.0,-0.2,-0.25,-0.4
consc_high-recommend-Cent_anni-6,138,-0.16666666666666666,0.6,0.25,0.7,0.6666666666666666,0.3,0.5,0.5,-0.5833333333333334,-0.6
consc_high-recommend-Chimichurri_Grill-6,202,0.0,0.1,0.6666666666666666,0.6,-0.5833333333333334,0.3,0.4166666666666667,0.6,-0.5833333333333334,-0.4
consc_high-recommend-Edgar_s_Cafe-6,169,-0.16666666666666666,0.2,0.3333333333333333,0.6,-0.3333333333333333,0.2,0.6666666666666666,0.6,-0.6666666666666666,-0.4
consc_high-recommend-Flor_De_Mayo-6,91,-0.3333333333333333,0.2,0.5,0.6,-0.5833333333333334,0.2,0.3333333333333333,0.5,-0.75,-0.6
consc_high-recommend-Jin_Dal_Lae-6,174,0.5,0.1,0.6666666666666666,0.6,0.4166666666666667,0.2,0.75,0.5,-0.6666666666666666,-0.4
consc_high-recommend-John_s_Pizzeria-6,293,-0.4166666666666667,0.7,0.4166666666666667,0.9,0.16666666666666666,0.5,-0.08333333333333333,0.1,-0.0,-0.4
consc_high-recommend-Pepolino-6,164,0.5833333333333334,0.5,0.4166666666666667,0.7,0.5,0.5,0.5,0.7,-0.8333333333333334,-0.4
consc_high-recommend-Pietro_s-6,110,0.5,0.5,0.4166666666666667,0.6,0.5833333333333334,0.5,0.6666666666666666,0.7,-0.5833333333333334,-0.4
consc_high-recommend-Trattoria_Rustica-6,222,0.0,0.2,0.75,0.6,0.75,0.4,0.6666666666666666,0.5,-0.75,-0.4
consc_high-recommend-Vinnie_s_Pizza-6,250,0.25,0.2,0.6666666666666666,0.9,0.16666666666666666,0.5,0.6666666666666666,0.7,-0.4166666666666667,-0.8
consc_low-compare2-Acacia-Marinella-5,194,0.25,-0.5,0.25,-0.7,0.6666666666666666,0.1,0.16666666666666666,-0.2,-0.25,0.1
consc_low-compare2-Caffe_Cielo-Trattoria_Spaghetto-5,269,-0.5,-0.5,0.16666666666666666,-0.7,0.75,-0.4,-0.25,-0.6,0.3333333333333333,0.8
consc_low-compare2-Ikeno_Hana-Menchanko-Tei-5,240,-0.4166666666666667,-0.5,-0.4166666666666667,-0.6,0.08333333333333333,-0.2,0.4166666666666667,0.2,0.3333333333333333,0.5
consc_low-compare2-Kin_Khao-Tossed-5,176,-0.4166666666666667,-0.4,-0.16666666666666666,-0.6,-0.16666666666666666,0.2,0.4166666666666667,-0.2,-0.0,0.6
consc_low-compare2-Le_Rivage-Pintaile_s_Pizza-5,177,0.0,-0.5,-0.5,-0.6,0.4166666666666667,-0.4,-0.5833333333333334,-0.7,0.5833333333333334,0.3
consc_low-compare2-Les_Routiers-Radio_Perfecto-5,224,0.0,0.1,0.5,-0.6,-0.5,-0.4,0.5,0.2,-0.4166666666666667,0.5
consc_low-compare2-Mavalli_Palace-Once_Upon_A_Tart-5,244,-0.08333333333333333,-0.5,-0.3333333333333333,-0.8,0.9166666666666666,-0.4,0.3333333333333333,0.2,0.4166666666666667,0.6
consc_low-compare2-Old_San_Juan-Veselka-5,174,-0.5,-0.5,0.3333333333333333,-0.7,0.08333333333333333,-0.6,-0.16666666666666666,-0.8,-0.16666666666666666,0.6
consc_low-compare2-Scopa-Shabu-Tatsu-5,166,-0.6666666666666666,-0.4,-0.4166666666666667,-0.6,0.16666666666666666,-0.4,-0.5833333333333334,0.2,0.5,0.6
consc_low-compare2-Soul_Fixins_-Walker_s-5,220,-0.08333333333333333,0.0,-0.08333333333333333,0.0,0.8333333333333334,0.25,-0.25,-0.020000000000000018,-0.08333333333333333,-0.15
consc_low-recommend-Cent_anni-5,215,-0.5,-0.1,-0.5,0.1,0.25,0.2,-0.08333333333333333,0.2,0.3333333333333333,0.1
consc_low-recommend-Chimichurri_Grill-5,184,-0.4166666666666667,-0.1,-0.3333333333333333,-0.5,0.25,0.2,0.0,0.3,0.08333333333333333,0.1
consc_low-recommend-Flor_De_Mayo-5,245,-0.16666666666666666,-0.4,0.16666666666666666,-0.6,0.08333333333333333,-0.2,0.08333333333333333,0.5,-0.0,0.3
consc_low-recommend-Jin_Dal_Lae-5,166,-0.5,-0.5,0.0,-0.7,-0.5833333333333334,-0.4,0.25,0.3,-0.16666666666666666,0.2
consc_low-recommend-John_s_Pizzeria-5,229,-0.3333333333333333,-0.5,-0.3333333333333333,-0.8,0.16666666666666666,-0.2,0.0,-0.6,0.8333333333333334,0.6
consc_low-recommend-Pepolino-5,225,-0.16666666666666666,-0.5,0.16666666666666666,-0.7,0.0,-0.5,-0.25,0.1,0.5833333333333334,0.2
consc_low-recommend-Pietro_s-5,236,-0.5833333333333334,-0.1,-0.16666666666666666,-0.5,0.08333333333333333,0.2,-0.4166666666666667,0.3,0.16666666666666666,0.1
consc_low-recommend-Trattoria_Rustica-5,179,-0.25,-0.5,-0.16666666666666666,-0.6,-0.3333333333333333,-0.2,0.3333333333333333,0.2,-0.16666666666666666,0.1
consc_low-recommend-Vinnie_s_Pizza-5,190,-0.4166666666666667,-0.5,-0.25,-0.7,0.5833333333333334,0.2,-0.3333333333333333,0.3,-0.16666666666666666,0.6
ems_high-compare2-Acacia-Marinella-2,138,-0.25,-0.4,0.5833333333333334,0.3,-0.75,-0.2,0.4166666666666667,0.2,-0.75,-0.4
ems_high-compare2-Caffe_Cielo-Trattoria_Spaghetto-2,202,0.16666666666666666,0.1,-0.08333333333333333,0.3,0.16666666666666666,0.6,0.3333333333333333,0.5,-0.5833333333333334,-0.4
ems_high-compare2-Ikeno_Hana-Menchanko-Tei-2,247,-0.5,0.1,-0.16666666666666666,0.6,-0.08333333333333333,0.1,0.16666666666666666,0.3,-0.5833333333333334,-0.4
ems_high-compare2-Kin_Khao-Tossed-2,204,0.4166666666666667,0.1,0.3333333333333333,0.7,0.8333333333333334,0.2,0.5,0.5,-0.5833333333333334,-0.6
ems_high-compare2-Le_Rivage-Pintaile_s_Pizza-2,240,0.5833333333333334,0.5,0.75,0.6,0.9166666666666666,0.7,0.25,0.5,-0.75,-0.6
ems_high-compare2-Les_Routiers-Radio_Perfecto-2,222,0.5,0.1,0.25,0.5,0.75,0.5,0.4166666666666667,0.5,-0.6666666666666666,-0.5
ems_high-compare2-Mavalli_Palace-Once_Upon_A_Tart-2,221,0.4166666666666667,0.6,0.6666666666666666,0.5,0.5833333333333334,0.7,0.4166666666666667,0.5,-0.5,-0.6
ems_high-compare2-Old_San_Juan-Veselka-2,230,0.3333333333333333,-0.1,0.75,0.6,0.16666666666666666,0.1,0.4166666666666667,0.2,-0.75,-0.4
ems_high-compare2-Scopa-Shabu-Tatsu-2,235,0.25,0.2,0.25,0.5,0.6666666666666666,0.6,0.4166666666666667,0.7,-0.6666666666666666,-0.8
ems_high-compare2-Soul_Fixins_-Walker_s-2,228,0.4166666666666667,0.0,0.5833333333333334,0.0,0.75,0.35,0.5,0.1,-0.5,0.0
ems_high-recommend-Cent_anni-2,163,0.3333333333333333,-0.1,0.6666666666666666,0.5,0.6666666666666666,0.1,0.5,0.3,-0.5833333333333334,-0.4
ems_high-recommend-Chimichurri_Grill-2,74,0.75,-0.3,0.5833333333333334,0.2,0.9166666666666666,0.6,0.6666666666666666,0.2,-0.6666666666666666,-0.4
ems_high-recommend-Edgar_s_Cafe-2,141,-0.08333333333333333,-0.4,0.5833333333333334,0.2,0.5833333333333334,0.2,0.6666666666666666,0.2,-0.8333333333333334,-0.4
ems_high-recommend-Flor_De_Mayo-2,116,0.25,0.1,0.0,0.5,0.5833333333333334,0.2,0.5,0.3,-0.75,-0.4
ems_high-recommend-Jin_Dal_Lae-2,191,0.5,0.1,0.5833333333333334,0.6,0.5833333333333334,0.2,0.5833333333333334,0.4,-0.6666666666666666,-0.4
ems_high-recommend-John_s_Pizzeria-2,159,0.5,-0.5,0.6666666666666666,0.1,0.8333333333333334,0.2,0.6666666666666666,0.1,-0.6666666666666666,-0.4
ems_high-recommend-Pepolino-2,135,-0.5,0.0,0.0,0.0,-0.5,0.5,0.4166666666666667,0.25,-0.5,0.0
ems_high-recommend-Pietro_s-2,126,0.0,-0.5,0.3333333333333333,0.2,-0.5,0.1,0.3333333333333333,0.1,-0.5833333333333334,-0.4
ems_high-recommend-Trattoria_Rustica-2,117,0.4166666666666667,-0.3,0.6666666666666666,0.2,0.9166666666666666,0.5,0.6666666666666666,0.7,-0.8333333333333334,-0.6
ems_high-recommend-Vinnie_s_Pizza-2,166,0.5,-0.5,0.75,0.2,0.6666666666666666,0.2,0.6666666666666666,0.1,-0.6666666666666666,-0.4
ems_low-compare2-Acacia-Marinella-1,222,-0.16666666666666666,-0.4,0.25,-0.6,0.5833333333333334,-0.5,0.25,0.2,0.16666666666666666,0.8
ems_low-compare2-Caffe_Cielo-Trattoria_Spaghetto-1,301,0.16666666666666666,-0.1,0.4166666666666667,0.0,0.75,-0.4,0.08333333333333333,0.2,0.08333333333333333,0.6
ems_low-compare2-Ikeno_Hana-Menchanko-Tei-1,283,0.25,-0.1,0.3333333333333333,0.0,0.0,0.2,0.5833333333333334,0.3,-0.25,0.6
ems_low-compare2-Kin_Khao-Tossed-1,275,0.0,-0.5,0.5,-0.6,-0.3333333333333333,-0.2,0.0,-0.4,0.25,0.8
ems_low-compare2-Le_Rivage-Pintaile_s_Pizza-1,246,-0.5,-0.5,-0.25,-0.6,0.0,-0.4,-0.08333333333333333,0.2,0.5833333333333334,0.8
ems_low-compare2-Les_Routiers-Radio_Perfecto-1,264,0.08333333333333333,-0.5,0.5,-0.6,0.5,-0.4,0.25,0.2,0.25,0.8
ems_low-compare2-Mavalli_Palace-Once_Upon_A_Tart-1,294,-0.16666666666666666,-0.5,-0.4166666666666667,-0.6,0.6666666666666666,-0.4,0.16666666666666666,0.2,0.16666666666666666,0.3
ems_low-compare2-Old_San_Juan-Veselka-1,266,-0.4166666666666667,-0.5,-0.5833333333333334,-0.8,0.5,-0.4,-0.4166666666666667,-0.2,0.25,0.6
ems_low-compare2-Scopa-Shabu-Tatsu-1,315,-0.16666666666666666,-0.3,-0.25,-0.5,-0.25,-0.2,0.4166666666666667,0.2,0.4166666666666667,0.9
ems_low-compare2-Soul_Fixins_-Walker_s-1,248,-0.5,-0.5,0.08333333333333333,0.1,0.5,-0.6,-0.5,-0.7,0.16666666666666666,-0.3
ems_low-recommend-Cent_anni-1,258,-0.4166666666666667,0.0,-0.4166666666666667,0.0,0.0,0.05,-0.08333333333333333,-0.12000000000000001,0.16666666666666666,-0.15
ems_low-recommend-Chimichurri_Grill-1,267,-0.25,-0.5,0.08333333333333333,-0.6,0.0,-0.2,0.3333333333333333,-0.2,-0.0,0.8
ems_low-recommend-Edgar_s_Cafe-1,256,-0.4166666666666667,-0.5,-0.16666666666666666,-0.6,0.16666666666666666,0.2,0.25,0.1,0.3333333333333333,0.8
ems_low-recommend-Flor_De_Mayo-1,277,-0.5833333333333334,0.1,-0.25,0.2,0.0,-0.2,-0.08333333333333333,0.2,0.3333333333333333,0.6
ems_low-recommend-Jin_Dal_Lae-1,202,-0.5,-0.4,-0.25,-0.5,0.6666666666666666,-0.6,0.16666666666666666,-0.7,0.5833333333333334,0.6
ems_low-recommend-John_s_Pizzeria-1,264,0.16666666666666666,-0.4,0.0,-0.6,0.16666666666666666,-0.2,-0.16666666666666666,-0.7,0.16666666666666666,0.3
ems_low-recommend-Pepolino-1,285,0.08333333333333333,-0.1,-0.08333333333333333,0.0,0.0,0.1,0.3333333333333333,0.5,-0.08333333333333333,0.3
ems_low-recommend-Pietro_s-1,246,-0.5833333333333334,-0.5,-0.08333333333333333,-0.6,-0.3333333333333333,0.1,-0.16666666666666666,-0.2,0.6666666666666666,0.9
ems_low-recommend-Trattoria_Rustica-1,275,0.08333333333333333,-0.5,0.16666666666666666,-0.6,0.75,0.1,0.08333333333333333,0.3,0.6666666666666666,0.8
ems_low-recommend-Vinnie_s_Pizza-1,185,-0.6666666666666666,-0.4,0.16666666666666666,0.0,-0.5833333333333334,-0.4,-0.25,-0.7,-0.16666666666666666,0.8
open_high-compare2-Acacia-Marinella-8,278,0.4166666666666667,0.5,0.5833333333333334,0.6,0.75,0.7,0.6666666666666666,0.7,-0.6666666666666666,-0.6
open_high-compare2-Caffe_Cielo-Trattoria_Spaghetto-8,393,0.16666666666666666,0.6,0.4166666666666667,0.7,0.8333333333333334,0.8,0.5,0.5,-0.4166666666666667,-0.4
open_high-compare2-Ikeno_Hana-Menchanko-Tei-8,314,0.3333333333333333,0.5,0.5833333333333334,0.6,-0.4166666666666667,0.7,0.5833333333333334,0.5,-0.6666666666666666,-0.4
open_high-compare2-Kin_Khao-Tossed-8,312,0.3333333333333333,0.5,0.25,0.7,0.9166666666666666,0.6,0.4166666666666667,0.2,-0.75,-0.4
open_high-compare2-Le_Rivage-Pintaile_s_Pizza-8,309,0.25,0.6,0.25,0.9,0.75,0.6,0.5,0.5,-0.3333333333333333,-0.8
open_high-compare2-Les_Routiers-Radio_Perfecto-8,301,0.6666666666666666,0.6,0.25,0.7,0.5833333333333334,0.8,0.6666666666666666,0.5,-0.5833333333333334,-0.8
open_high-compare2-Mavalli_Palace-Once_Upon_A_Tart-8,292,0.25,0.6,0.4166666666666667,0.9,0.4166666666666667,0.2,0.3333333333333333,0.7,-0.4166666666666667,-0.8
open_high-compare2-Old_San_Juan-Veselka-8,277,0.5,0.6,0.5,0.7,0.6666666666666666,0.5,0.25,-0.2,-0.5,-0.4
open_high-compare2-Scopa-Shabu-Tatsu-8,348,0.5833333333333334,0.5,0.25,0.9,0.75,0.6,0.4166666666666667,0.7,-0.25,-0.8
open_high-compare2-Soul_Fixins_-Walker_s-8,292,-0.25,0.1,-0.08333333333333333,0.6,-0.08333333333333333,0.2,0.25,-0.2,0.08333333333333333,-0.4
open_high-recommend-Cent_anni-8,238,-0.25,0.2,0.08333333333333333,0.9,0.6666666666666666,0.1,-0.08333333333333333,0.3,-0.08333333333333333,-0.6
open_high-recommend-Chimichurri_Grill-8,312,0.3333333333333333,0.2,-0.25,0.6,0.8333333333333334,0.4,0.08333333333333333,0.5,0.08333333333333333,-0.4
open_high-recommend-Edgar_s_Cafe-8,268,-0.08333333333333333,0.2,0.5833333333333334,0.6,0.75,0.2,0.16666666666666666,-0.4,-0.5,-0.4
open_high-recommend-Flor_De_Mayo-8,293,-0.25,0.3,-0.08333333333333333,0.6,0.6666666666666666,0.5,0.16666666666666666,0.4,-0.5833333333333334,-0.4
open_high-recommend-Jin_Dal_Lae-8,316,-0.6666666666666666,0.5,-0.3333333333333333,0.9,-0.08333333333333333,0.6,0.25,0.2,-0.3333333333333333,-0.4
open_high-recommend-John_s_Pizzeria-8,252,-0.6666666666666666,0.1,-0.4166666666666667,0.6,0.08333333333333333,0.4,-0.5,0.2,0.16666666666666666,-0.4
open_high-recommend-Pepolino-8,296,-0.25,0.6,0.75,0.7,0.5,0.2,-0.4166666666666667,0.4,-0.25,-0.4
open_high-recommend-Pietro_s-8,325,-0.08333333333333333,0.6,0.6666666666666666,0.7,0.08333333333333333,0.3,0.4166666666666667,0.7,-0.6666666666666666,-0.4
open_high-recommend-Trattoria_Rustica-8,343,0.25,0.5,0.75,0.9,0.8333333333333334,0.3,0.6666666666666666,0.7,-0.75,-0.8
open_high-recommend-Vinnie_s_Pizza-8,299,-0.16666666666666666,0.1,-0.5833333333333334,0.6,0.3333333333333333,-0.2,-0.5833333333333334,-0.2,-0.0,-0.4
open_low-compare2-Acacia-Marinella-7,164,-0.5,-0.5,-0.4166666666666667,-0.6,0.0,-0.2,0.25,0.2,0.5833333333333334,0.6
open_low-compare2-Caffe_Cielo-Trattoria_Spaghetto-7,242,0.0,-0.4,0.08333333333333333,-0.6,-0.08333333333333333,-0.4,0.25,0.2,-0.08333333333333333,0.5
open_low-compare2-Ikeno_Hana-Menchanko-Tei-7,207,-0.5,-0.4,-0.5833333333333334,-0.6,-0.5833333333333334,-0.4,0.3333333333333333,0.2,0.5833333333333334,0.6
open_low-compare2-Kin_Khao-Tossed-7,147,-0.08333333333333333,-0.5,-0.4166666666666667,-0.8,-0.6666666666666666,-0.2,0.16666666666666666,-0.4,0.25,0.1
open_low-compare2-Le_Rivage-Pintaile_s_Pizza-7,159,-0.3333333333333333,-0.6,0.08333333333333333,-0.8,-0.75,-0.5,-0.16666666666666666,-0.2,-0.08333333333333333,0.3
open_low-compare2-Les_Routiers-Radio_Perfecto-7,148,-0.4166666666666667,-0.5,-0.4166666666666667,-0.7,-0.9166666666666666,-0.3,0.0,0.2,0.3333333333333333,0.1
open_low-compare2-Mavalli_Palace-Once_Upon_A_Tart-7,182,-0.5,-0.5,0.3333333333333333,-0.8,-0.75,-0.5,0.25,0.1,-0.16666666666666666,0.3
open_low-compare2-Old_San_Juan-Veselka-7,195,-0.08333333333333333,-0.5,-0.16666666666666666,-0.7,0.0,-0.5,0.16666666666666666,-0.4,0.3333333333333333,0.3
open_low-compare2-Scopa-Shabu-Tatsu-7,166,-0.25,-0.5,-0.25,-0.7,-0.5,-0.5,-0.5,0.2,0.16666666666666666,0.3
open_low-compare2-Soul_Fixins_-Walker_s-7,164,-0.75,-0.5,-0.3333333333333333,-0.7,-0.6666666666666666,-0.6,-0.4166666666666667,-0.4,0.5,0.1
open_low-recommend-Cent_anni-7,95,-0.5,-0.5,-0.3333333333333333,-0.6,-0.75,-0.4,0.25,0.2,0.3333333333333333,0.1
open_low-recommend-Chimichurri_Grill-7,157,-0.16666666666666666,-0.5,-0.4166666666666667,-0.7,0.08333333333333333,0.2,-0.5833333333333334,0.3,0.3333333333333333,0.1
open_low-recommend-Edgar_s_Cafe-7,119,-0.6666666666666666,-0.5,-0.5,-0.7,-0.25,0.2,0.4166666666666667,0.3,0.5833333333333334,0.3
open_low-recommend-Flor_De_Mayo-7,111,-0.16666666666666666,-0.4,-0.5,-0.6,-0.8333333333333334,0.2,0.5,0.4,0.5833333333333334,0.3
open_low-recommend-Jin_Dal_Lae-7,131,-0.6666666666666666,-0.5,-0.08333333333333333,-0.7,-0.4166666666666667,-0.6,-0.3333333333333333,0.2,0.3333333333333333,0.5
open_low-recommend-John_s_Pizzeria-7,116,-0.16666666666666666,-0.5,0.16666666666666666,-0.7,-0.75,0.2,0.3333333333333333,0.3,-0.25,0.1
open_low-recommend-Pepolino-7,106,-0.9166666666666666,-0.5,-0.3333333333333333,-0.6,-0.9166666666666666,0.2,0.3333333333333333,0.5,0.75,0.1
open_low-recommend-Pietro_s-7,141,-0.3333333333333333,-0.5,0.4166666666666667,-0.6,-0.5833333333333334,-0.2,0.6666666666666666,0.2,-0.5,0.6
open_low-recommend-Trattoria_Rustica-7,118,0.16666666666666666,-0.5,-0.25,-0.6,-0.08333333333333333,-0.4,0.08333333333333333,0.2,-0.0,0.1
